,Element,Wavelength,n,k,Source
1397,BK7_2,6.0606,1.313,0.0193,
1398,BK7_2,6.068,1.3133,0.0194,
1399,BK7_2,6.0753,1.3133,0.0193,
1400,BK7_2,6.0827,1.3133,0.0192,
1401,BK7_2,6.0901,1.3132,0.0191,
1402,BK7_2,6.0976,1.3132,0.0188,
1403,BK7_2,6.105,1.3133,0.0185,
1404,BK7_2,6.1125,1.3133,0.0181,
1405,BK7_2,6.12,1.3133,0.0176,
1406,BK7_2,6.1275,1.3132,0.0171,
1407,BK7_2,6.135,1.3128,0.0166,
1408,BK7_2,6.1425,1.3122,0.016,
1409,BK7_2,6.1501,1.3112,0.0155,
1410,BK7_2,6.1576,1.3098,0.0149,
1411,BK7_2,6.1652,1.3079,0.0143,
1412,BK7_2,6.1728,1.3054,0.0138,
1413,BK7_2,6.1805,1.3027,0.0134,
1414,BK7_2,6.1881,1.3001,0.0129,
1415,BK7_2,6.1958,1.2978,0.0126,
1416,BK7_2,6.2035,1.2962,0.0123,
1417,BK7_2,6.2112,1.2956,0.012,
1418,BK7_2,6.2189,1.2957,0.0118,
1419,BK7_2,6.2267,1.2961,0.0117,
1420,BK7_2,6.2344,1.2963,0.0115,
1421,BK7_2,6.2422,1.2961,0.0114,
1422,BK7_2,6.25,1.2951,0.0114,
1423,BK7_2,6.2578,1.2937,0.0113,
1424,BK7_2,6.2657,1.2922,0.0113,
1425,BK7_2,6.2735,1.291,0.0113,
1426,BK7_2,6.2814,1.2904,0.0114,
1427,BK7_2,6.2893,1.2904,0.0114,
1428,BK7_2,6.2972,1.2908,0.0115,
1429,BK7_2,6.3052,1.2911,0.0116,
1430,BK7_2,6.3131,1.2909,0.0117,
1431,BK7_2,6.3211,1.2896,0.0118,
1432,BK7_2,6.3291,1.2869,0.0119,
1433,BK7_2,6.3371,1.2834,0.012,
1434,BK7_2,6.3452,1.2802,0.0121,
1435,BK7_2,6.3532,1.2779,0.0121,
1436,BK7_2,6.3613,1.2764,0.0121,
1437,BK7_2,6.3694,1.2754,0.012,
1438,BK7_2,6.3776,1.2746,0.0119,
1439,BK7_2,6.3857,1.2738,0.0117,
1440,BK7_2,6.3939,1.2728,0.0115,
1441,BK7_2,6.402,1.2717,0.0114,
1442,BK7_2,6.4103,1.2705,0.0112,
1443,BK7_2,6.4185,1.2693,0.011,
1444,BK7_2,6.4267,1.268,0.0109,
1445,BK7_2,6.435,1.2668,0.0109,
1446,BK7_2,6.4433,1.2656,0.011,
1447,BK7_2,6.4516,1.2644,0.0111,
1448,BK7_2,6.4599,1.2633,0.0115,
1449,BK7_2,6.4683,1.2622,0.012,
1450,BK7_2,6.4767,1.261,0.0127,
1451,BK7_2,6.4851,1.2598,0.0135,
1452,BK7_2,6.4935,1.2581,0.0142,
1453,BK7_2,6.502,1.256,0.0147,
1454,BK7_2,6.5104,1.2537,0.0149,
1455,BK7_2,6.5189,1.2512,0.0147,
1456,BK7_2,6.5274,1.2488,0.0142,
1457,BK7_2,6.5359,1.2465,0.0137,
1458,BK7_2,6.5445,1.2446,0.0133,
1459,BK7_2,6.5531,1.2431,0.0129,
1460,BK7_2,6.5617,1.2419,0.0127,
1461,BK7_2,6.5703,1.2409,0.0127,
1462,BK7_2,6.5789,1.2401,0.0128,
1463,BK7_2,6.5876,1.2394,0.0131,
1464,BK7_2,6.5963,1.2386,0.0135,
1465,BK7_2,6.605,1.2376,0.0138,
1466,BK7_2,6.6138,1.2364,0.0143,
1467,BK7_2,6.6225,1.2346,0.0147,
1468,BK7_2,6.6313,1.2321,0.0152,
1469,BK7_2,6.6401,1.2288,0.0156,
1470,BK7_2,6.6489,1.2256,0.016,
1471,BK7_2,6.6578,1.2231,0.0163,
1472,BK7_2,6.6667,1.2215,0.0166,
1473,BK7_2,6.6756,1.2204,0.0168,
1474,BK7_2,6.6845,1.2194,0.0169,
1475,BK7_2,6.6934,1.2185,0.0169,
1476,BK7_2,6.7024,1.2172,0.0169,
1477,BK7_2,6.7114,1.2154,0.0169,
1478,BK7_2,6.7204,1.2132,0.0168,
1479,BK7_2,6.7295,1.2106,0.0167,
1480,BK7_2,6.7385,1.208,0.0167,
1481,BK7_2,6.7476,1.2054,0.0168,
1482,BK7_2,6.7568,1.2028,0.0171,
1483,BK7_2,6.7659,1.2004,0.0178,
1484,BK7_2,6.7751,1.1981,0.0189,
1485,BK7_2,6.7843,1.196,0.0204,
1486,BK7_2,6.7935,1.194,0.022,
1487,BK7_2,6.8027,1.1924,0.0235,
1488,BK7_2,6.812,1.191,0.0248,
1489,BK7_2,6.8213,1.1898,0.0258,
1490,BK7_2,6.8306,1.1885,0.0265,
1491,BK7_2,6.8399,1.1873,0.0271,
1492,BK7_2,6.8493,1.1861,0.0275,
1493,BK7_2,6.8587,1.1849,0.0279,
1494,BK7_2,6.8681,1.1838,0.0281,
1495,BK7_2,6.8776,1.1829,0.0283,
1496,BK7_2,6.8871,1.182,0.0285,
1497,BK7_2,6.8966,1.181,0.0286,
1498,BK7_2,6.9061,1.1797,0.0286,
1499,BK7_2,6.9156,1.1781,0.0287,
1500,BK7_2,6.9252,1.176,0.0288,
1501,BK7_2,6.9348,1.1736,0.0292,
1502,BK7_2,6.9444,1.1711,0.0299,
1503,BK7_2,6.9541,1.1686,0.0308,
1504,BK7_2,6.9638,1.1665,0.0319,
1505,BK7_2,6.9735,1.165,0.0332,
1506,BK7_2,6.9832,1.1639,0.0345,
1507,BK7_2,6.993,1.1625,0.0358,
1508,BK7_2,7.0028,1.1606,0.0371,
1509,BK7_2,7.0126,1.158,0.0383,
1510,BK7_2,7.0225,1.1553,0.0394,
1511,BK7_2,7.0323,1.1528,0.0403,
1512,BK7_2,7.0423,1.1507,0.0408,
1513,BK7_2,7.0522,1.1495,0.0411,
1514,BK7_2,7.0621,1.1491,0.0413,
1515,BK7_2,7.0721,1.1493,0.0421,
1516,BK7_2,7.0822,1.1497,0.0432,
1517,BK7_2,7.0922,1.1499,0.0441,
1518,BK7_2,7.1023,1.1496,0.0447,
1519,BK7_2,7.1124,1.1486,0.0451,
1520,BK7_2,7.1225,1.1473,0.0453,
1521,BK7_2,7.1327,1.1459,0.0454,
1522,BK7_2,7.1429,1.1445,0.0454,
1523,BK7_2,7.1531,1.1433,0.0453,
1524,BK7_2,7.1633,1.1423,0.0451,
1525,BK7_2,7.1736,1.1413,0.045,
1526,BK7_2,7.1839,1.1402,0.0448,
1527,BK7_2,7.1942,1.1387,0.0446,
1528,BK7_2,7.2046,1.1364,0.0444,
1529,BK7_2,7.215,1.1335,0.0442,
1530,BK7_2,7.2254,1.1302,0.044,
1531,BK7_2,7.2359,1.1271,0.0438,
1532,BK7_2,7.2464,1.1244,0.0436,
1533,BK7_2,7.2569,1.122,0.0435,
1534,BK7_2,7.2674,1.1197,0.0434,
1535,BK7_2,7.278,1.1176,0.0433,
1536,BK7_2,7.2886,1.1156,0.0433,
1537,BK7_2,7.2993,1.1137,0.0433,
1538,BK7_2,7.3099,1.1117,0.0433,
1539,BK7_2,7.3206,1.1094,0.0433,
1540,BK7_2,7.3314,1.1067,0.0434,
1541,BK7_2,7.3421,1.1034,0.0435,
1542,BK7_2,7.3529,1.0993,0.0436,
1543,BK7_2,7.3638,1.0947,0.0437,
1544,BK7_2,7.3746,1.09,0.0437,
1545,BK7_2,7.3855,1.0859,0.0438,
1546,BK7_2,7.3964,1.0826,0.0439,
1547,BK7_2,7.4074,1.0799,0.0439,
1548,BK7_2,7.4184,1.0776,0.0439,
1549,BK7_2,7.4294,1.0755,0.0439,
1550,BK7_2,7.4405,1.0734,0.0439,
1551,BK7_2,7.4516,1.0712,0.0439,
1552,BK7_2,7.4627,1.0689,0.0438,
1553,BK7_2,7.4738,1.0661,0.0438,
1554,BK7_2,7.485,1.0627,0.0437,
1555,BK7_2,7.4963,1.0586,0.0437,
1556,BK7_2,7.5075,1.0539,0.0436,
1557,BK7_2,7.5188,1.0489,0.0435,
1558,BK7_2,7.5301,1.0439,0.0435,
1559,BK7_2,7.5415,1.0393,0.0434,
1560,BK7_2,7.5529,1.0351,0.0434,
1561,BK7_2,7.5643,1.0317,0.0434,
1562,BK7_2,7.5758,1.029,0.0434,
1563,BK7_2,7.5873,1.0266,0.0434,
1564,BK7_2,7.5988,1.0236,0.0434,
1565,BK7_2,7.6104,1.0196,0.0434,
1566,BK7_2,7.622,1.0144,0.0435,
1567,BK7_2,7.6336,1.0084,0.0436,
1568,BK7_2,7.6453,1.0021,0.0437,
1569,BK7_2,7.657,0.996,0.0438,
1570,BK7_2,7.6687,0.9905,0.0439,
1571,BK7_2,7.6805,0.9848,0.044,
1572,BK7_2,7.6923,0.9781,0.0442,
1573,BK7_2,7.7042,0.9704,0.0443,
1574,BK7_2,7.716,0.9624,0.0444,
1575,BK7_2,7.728,0.9544,0.0445,
1576,BK7_2,7.7399,0.9467,0.0446,
1577,BK7_2,7.7519,0.9391,0.0446,
1578,BK7_2,7.764,0.9314,0.0445,
1579,BK7_2,7.776,0.9237,0.0443,
1580,BK7_2,7.7882,0.916,0.0441,
1581,BK7_2,7.8003,0.9081,0.0441,
1582,BK7_2,7.8125,0.9004,0.0444,
1583,BK7_2,7.8247,0.8928,0.0451,
1584,BK7_2,7.837,0.8854,0.0465,
1585,BK7_2,7.8493,0.8779,0.0487,
1586,BK7_2,7.8616,0.8696,0.0513,
1587,BK7_2,7.874,0.8591,0.0543,
1588,BK7_2,7.8864,0.846,0.0575,
1589,BK7_2,7.8989,0.8317,0.0607,
1590,BK7_2,7.9114,0.8168,0.0638,
1591,BK7_2,7.9239,0.8018,0.0671,
1592,BK7_2,7.9365,0.7887,0.0711,
1593,BK7_2,7.9491,0.7776,0.0756,
1594,BK7_2,7.9618,0.7649,0.0807,
1595,BK7_2,7.9745,0.7499,0.0863,
1596,BK7_2,7.9872,0.7368,0.0925,
1597,BK7_2,8.0,0.7258,0.0997,
1598,BK7_2,8.0128,0.7121,0.1093,
1599,BK7_2,8.0257,0.6969,0.1228,
1600,BK7_2,8.0386,0.6861,0.1344,
1601,BK7_2,8.0515,0.6783,0.1483,
1602,BK7_2,8.0645,0.6715,0.1634,
1603,BK7_2,8.0775,0.6644,0.1789,
1604,BK7_2,8.0906,0.6567,0.1943,
1605,BK7_2,8.1037,0.6487,0.209,
1606,BK7_2,8.1169,0.6405,0.224,
1607,BK7_2,8.1301,0.6325,0.2419,
1608,BK7_2,8.1433,0.6253,0.26,
1609,BK7_2,8.1566,0.619,0.2761,
1610,BK7_2,8.1699,0.6139,0.2909,
1611,BK7_2,8.1833,0.6101,0.3075,
1612,BK7_2,8.1967,0.6076,0.3256,
1613,BK7_2,8.2102,0.6064,0.3436,
1614,BK7_2,8.2237,0.6061,0.3602,
1615,BK7_2,8.2372,0.6064,0.3758,
1616,BK7_2,8.2508,0.607,0.3915,
1617,BK7_2,8.2645,0.6077,0.4071,
1618,BK7_2,8.2781,0.6084,0.4225,
1619,BK7_2,8.2919,0.6092,0.4376,
1620,BK7_2,8.3056,0.6103,0.4523,
1621,BK7_2,8.3195,0.6118,0.4665,
1622,BK7_2,8.3333,0.6139,0.4801,
1623,BK7_2,8.3472,0.6167,0.4932,
1624,BK7_2,8.3612,0.6199,0.5059,
1625,BK7_2,8.3752,0.6229,0.5184,
1626,BK7_2,8.3893,0.6248,0.5309,
1627,BK7_2,8.4034,0.6254,0.5434,
1628,BK7_2,8.4175,0.6262,0.5561,
1629,BK7_2,8.4317,0.6275,0.5691,
1630,BK7_2,8.4459,0.6291,0.5821,
1631,BK7_2,8.4602,0.6309,0.5947,
1632,BK7_2,8.4746,0.6328,0.6068,
1633,BK7_2,8.489,0.6348,0.618,
1634,BK7_2,8.5034,0.6369,0.6283,
1635,BK7_2,8.5179,0.639,0.6379,
1636,BK7_2,8.5324,0.6412,0.6471,
1637,BK7_2,8.547,0.6434,0.6563,
1638,BK7_2,8.5616,0.6457,0.6661,
1639,BK7_2,8.5763,0.648,0.677,
1640,BK7_2,8.5911,0.6503,0.6888,
1641,BK7_2,8.6059,0.6527,0.7003,
1642,BK7_2,8.6207,0.6551,0.7106,
1643,BK7_2,8.6356,0.6576,0.7202,
1644,BK7_2,8.6505,0.6602,0.7297,
1645,BK7_2,8.6655,0.6629,0.7395,
1646,BK7_2,8.6806,0.6656,0.7497,
1647,BK7_2,8.6957,0.6678,0.7603,
1648,BK7_2,8.7108,0.6685,0.7712,
1649,BK7_2,8.726,0.6685,0.7824,
1650,BK7_2,8.7413,0.6683,0.7937,
1651,BK7_2,8.7566,0.6681,0.8052,
1652,BK7_2,8.7719,0.6682,0.8169,
1653,BK7_2,8.7873,0.6687,0.8287,
1654,BK7_2,8.8028,0.6701,0.8406,
1655,BK7_2,8.8183,0.6718,0.8529,
1656,BK7_2,8.8339,0.6734,0.8655,
1657,BK7_2,8.8496,0.6743,0.8786,
1658,BK7_2,8.8652,0.6746,0.8923,
1659,BK7_2,8.881,0.6745,0.9066,
1660,BK7_2,8.8968,0.6743,0.9215,
1661,BK7_2,8.9127,0.6739,0.9368,
1662,BK7_2,8.9286,0.6736,0.9524,
1663,BK7_2,8.9445,0.6734,0.9681,
1664,BK7_2,8.9606,0.6733,0.9836,
1665,BK7_2,8.9767,0.6734,0.9984,
1666,BK7_2,8.9928,0.6737,1.0133,
1667,BK7_2,9.009,0.6744,1.0344,
1668,BK7_2,9.0253,0.6754,1.0581,
1669,BK7_2,9.0416,0.6766,1.0806,
1670,BK7_2,9.058,0.678,1.0995,
1671,BK7_2,9.0744,0.6794,1.1165,
1672,BK7_2,9.0909,0.6809,1.1395,
1673,BK7_2,9.1075,0.6826,1.1695,
1674,BK7_2,9.1241,0.6848,1.1951,
1675,BK7_2,9.1408,0.6875,1.2196,
1676,BK7_2,9.1575,0.6916,1.2477,
1677,BK7_2,9.1743,0.6977,1.2826,
1678,BK7_2,9.1912,0.7063,1.3154,
1679,BK7_2,9.2081,0.7161,1.3406,
1680,BK7_2,9.2251,0.7264,1.369,
1681,BK7_2,9.2421,0.7472,1.407,
1682,BK7_2,9.2593,0.7702,1.4346,
1683,BK7_2,9.2764,0.7835,1.4798,
1684,BK7_2,9.2937,0.8023,1.5114,
1685,BK7_2,9.311,0.836,1.5378,
1686,BK7_2,9.3284,0.8596,1.5647,
1687,BK7_2,9.3458,0.9076,1.5948,
1688,BK7_2,9.3633,0.9342,1.6176,
1689,BK7_2,9.3809,0.9743,1.6442,
1690,BK7_2,9.3985,0.9998,1.6726,
1691,BK7_2,9.4162,1.0297,1.6901,
1692,BK7_2,9.434,1.057,1.7064,
1693,BK7_2,9.4518,1.0942,1.7229,
1694,BK7_2,9.4697,1.1302,1.7391,
1695,BK7_2,9.4877,1.1639,1.7539,
1696,BK7_2,9.5057,1.2237,1.7665,
1697,BK7_2,9.5238,1.2501,1.7768,
1698,BK7_2,9.542,1.3086,1.7856,
1699,BK7_2,9.5602,1.3372,1.7935,
1700,BK7_2,9.5785,1.3947,1.8005,
1701,BK7_2,9.5969,1.4234,1.8065,
1702,BK7_2,9.6154,1.4697,1.811,
1703,BK7_2,9.6339,1.5146,1.814,
1704,BK7_2,9.6525,1.5461,1.8157,
1705,BK7_2,9.6712,1.5746,1.8162,
1706,BK7_2,9.6899,1.6309,1.8155,
1707,BK7_2,9.7087,1.6565,1.8134,
1708,BK7_2,9.7276,1.69,1.81,
1709,BK7_2,9.7466,1.7306,1.8055,
1710,BK7_2,9.7656,1.7841,1.7997,
1711,BK7_2,9.7847,1.8334,1.7927,
1712,BK7_2,9.8039,1.8846,1.7842,
1713,BK7_2,9.8232,1.9259,1.7741,
1714,BK7_2,9.8425,1.9525,1.762,
1715,BK7_2,9.8619,1.9788,1.7457,
1716,BK7_2,9.8814,2.04,1.7089,
1717,BK7_2,9.901,2.0654,1.6926,
1718,BK7_2,9.9206,2.0968,1.6774,
1719,BK7_2,9.9404,2.118,1.6583,
1720,BK7_2,9.9602,2.1767,1.6341,
1721,BK7_2,9.98,2.2032,1.6017,
1722,BK7_2,10.0,2.2327,1.5617,
1723,BK7_2,10.02,2.2613,1.5331,
1724,BK7_2,10.04,2.2901,1.5006,
1725,BK7_2,10.06,2.3188,1.4696,
1726,BK7_2,10.081,2.3478,1.4425,
1727,BK7_2,10.101,2.3758,1.4189,
1728,BK7_2,10.121,2.4061,1.3984,
1729,BK7_2,10.142,2.4178,1.3583,
1730,BK7_2,10.163,2.4294,1.3068,
1731,BK7_2,10.183,2.458,1.2603,
1732,BK7_2,10.204,2.474,1.2231,
1733,BK7_2,10.225,2.4863,1.1899,
1734,BK7_2,10.246,2.497,1.1583,
1735,BK7_2,10.267,2.504,1.1269,
1736,BK7_2,10.288,2.508,1.0933,
1737,BK7_2,10.309,2.5101,1.0546,
1738,BK7_2,10.331,2.5109,1.014,
1739,BK7_2,10.352,2.5107,0.9769,
1740,BK7_2,10.373,2.5092,0.9433,
1741,BK7_2,10.395,2.5058,0.9116,
1742,BK7_2,10.417,2.4991,0.8815,
1743,BK7_2,10.438,2.4896,0.8542,
1744,BK7_2,10.46,2.4818,0.8295,
1745,BK7_2,10.482,2.4763,0.7928,
1746,BK7_2,10.504,2.4711,0.7539,
1747,BK7_2,10.526,2.4628,0.7322,
1748,BK7_2,10.549,2.4469,0.7088,
1749,BK7_2,10.571,2.4286,0.6852,
1750,BK7_2,10.593,2.4121,0.6653,
1751,BK7_2,10.616,2.3985,0.6471,
1752,BK7_2,10.638,2.3887,0.6291,
1753,BK7_2,10.661,2.3817,0.6115,
1754,BK7_2,10.684,2.3746,0.5962,
1755,BK7_2,10.707,2.3629,0.5829,
1756,BK7_2,10.73,2.3465,0.5702,
1757,BK7_2,10.753,2.3329,0.5579,
1758,BK7_2,10.776,2.3231,0.5459,
1759,BK7_2,10.799,2.3149,0.5346,
1760,BK7_2,10.823,2.3073,0.5242,
1761,BK7_2,10.846,2.3,0.5144,
1762,BK7_2,10.87,2.2926,0.5049,
1763,BK7_2,10.893,2.2849,0.4957,
1764,BK7_2,10.917,2.2766,0.4867,
1765,BK7_2,10.941,2.2679,0.4779,
1766,BK7_2,10.965,2.2602,0.4692,
1767,BK7_2,10.989,2.2544,0.4607,
1768,BK7_2,11.013,2.2498,0.4524,
1769,BK7_2,11.038,2.2458,0.4443,
1770,BK7_2,11.062,2.2417,0.4365,
1771,BK7_2,11.086,2.237,0.4289,
1772,BK7_2,11.111,2.2311,0.4215,
1773,BK7_2,11.136,2.225,0.4142,
1774,BK7_2,11.161,2.2197,0.4069,
1775,BK7_2,11.186,2.2152,0.3997,
1776,BK7_2,11.211,2.211,0.3923,
1777,BK7_2,11.236,2.207,0.3848,
1778,BK7_2,11.261,2.2028,0.377,
1779,BK7_2,11.287,2.1985,0.3689,
1780,BK7_2,11.312,2.1941,0.3606,
1781,BK7_2,11.338,2.1897,0.3521,
1782,BK7_2,11.364,2.1852,0.3435,
1783,BK7_2,11.39,2.1807,0.3349,
1784,BK7_2,11.416,2.1764,0.3262,
1785,BK7_2,11.442,2.1723,0.3177,
1786,BK7_2,11.468,2.1684,0.3094,
1787,BK7_2,11.494,2.1645,0.3011,
1788,BK7_2,11.521,2.1601,0.293,
1789,BK7_2,11.547,2.1547,0.2849,
1790,BK7_2,11.574,2.1475,0.2768,
1791,BK7_2,11.601,2.1392,0.2687,
1792,BK7_2,11.628,2.1315,0.2604,
1793,BK7_2,11.655,2.1254,0.2519,
1794,BK7_2,11.682,2.12,0.2429,
1795,BK7_2,11.71,2.1143,0.2336,
1796,BK7_2,11.737,2.1077,0.2242,
1797,BK7_2,11.765,2.0996,0.215,
1798,BK7_2,11.792,2.0888,0.2068,
1799,BK7_2,11.82,2.0741,0.1995,
1800,BK7_2,11.848,2.0586,0.1934,
1801,BK7_2,11.876,2.0473,0.1881,
1802,BK7_2,11.905,2.0394,0.1838,
1803,BK7_2,11.933,2.0324,0.1801,
1804,BK7_2,11.962,2.0244,0.1771,
1805,BK7_2,11.99,2.0132,0.1748,
1806,BK7_2,12.019,1.9974,0.1733,
1807,BK7_2,12.048,1.9837,0.1727,
1808,BK7_2,12.077,1.973,0.173,
1809,BK7_2,12.107,1.9626,0.1741,
1810,BK7_2,12.136,1.9526,0.1756,
1811,BK7_2,12.165,1.9438,0.1776,
1812,BK7_2,12.195,1.9368,0.1799,
1813,BK7_2,12.225,1.9313,0.1825,
1814,BK7_2,12.255,1.9263,0.1853,
1815,BK7_2,12.285,1.921,0.1884,
1816,BK7_2,12.315,1.9162,0.1916,
1817,BK7_2,12.346,1.9122,0.195,
1818,BK7_2,12.376,1.9092,0.1984,
1819,BK7_2,12.407,1.9073,0.2016,
1820,BK7_2,12.438,1.9062,0.2047,
1821,BK7_2,12.469,1.9053,0.2073,
1822,BK7_2,12.5,1.9046,0.2095,
1823,BK7_2,12.531,1.9036,0.2111,
1824,BK7_2,12.563,1.9024,0.2121,
1825,BK7_2,12.594,1.901,0.2127,
1826,BK7_2,12.626,1.8997,0.213,
1827,BK7_2,12.658,1.8987,0.213,
1828,BK7_2,12.69,1.8981,0.2126,
1829,BK7_2,12.723,1.898,0.2117,
1830,BK7_2,12.755,1.8982,0.2105,
1831,BK7_2,12.788,1.8983,0.2089,
1832,BK7_2,12.821,1.8983,0.2069,
1833,BK7_2,12.853,1.898,0.2046,
1834,BK7_2,12.887,1.8972,0.2018,
1835,BK7_2,12.92,1.8961,0.1985,
1836,BK7_2,12.953,1.8947,0.1948,
1837,BK7_2,12.987,1.8929,0.1908,
1838,BK7_2,13.021,1.8908,0.1864,
1839,BK7_2,13.055,1.8882,0.1818,
1840,BK7_2,13.089,1.8851,0.1769,
1841,BK7_2,13.123,1.8814,0.1725,
1842,BK7_2,13.158,1.8773,0.1693,
1843,BK7_2,13.193,1.8729,0.1671,
1844,BK7_2,13.228,1.8685,0.1656,
1845,BK7_2,13.263,1.8641,0.1644,
1846,BK7_2,13.298,1.8598,0.1633,
1847,BK7_2,13.333,1.8556,0.1624,
1848,BK7_2,13.369,1.8512,0.1615,
1849,BK7_2,13.405,1.8465,0.1606,
1850,BK7_2,13.441,1.8415,0.1594,
1851,BK7_2,13.477,1.8368,0.1575,
1852,BK7_2,13.514,1.8329,0.1547,
1853,BK7_2,13.55,1.83,0.152,
1854,BK7_2,13.587,1.8277,0.1497,
1855,BK7_2,13.624,1.8256,0.1481,
1856,BK7_2,13.661,1.8236,0.1474,
1857,BK7_2,13.699,1.8211,0.1474,
1858,BK7_2,13.736,1.8175,0.1477,
1859,BK7_2,13.774,1.8118,0.148,
1860,BK7_2,13.812,1.805,0.1478,
1861,BK7_2,13.85,1.7994,0.1469,
1862,BK7_2,13.889,1.7949,0.145,
1863,BK7_2,13.928,1.7908,0.1425,
1864,BK7_2,13.966,1.787,0.1401,
1865,BK7_2,14.006,1.7831,0.1381,
1866,BK7_2,14.045,1.7791,0.1366,
1867,BK7_2,14.085,1.7746,0.1358,
1868,BK7_2,14.124,1.7697,0.1354,
1869,BK7_2,14.164,1.7642,0.1355,
1870,BK7_2,14.205,1.7582,0.1361,
1871,BK7_2,14.245,1.7523,0.1371,
1872,BK7_2,14.286,1.7466,0.1386,
1873,BK7_2,14.327,1.7414,0.1404,
1874,BK7_2,14.368,1.7369,0.1425,
1875,BK7_2,14.409,1.7329,0.1448,
1876,BK7_2,14.451,1.7296,0.1471,
1877,BK7_2,14.493,1.7269,0.1494,
1878,BK7_2,14.535,1.7243,0.1516,
1879,BK7_2,14.577,1.7213,0.1535,
1880,BK7_2,14.62,1.7176,0.155,
1881,BK7_2,14.663,1.7131,0.1561,
1882,BK7_2,14.706,1.7084,0.1568,
1883,BK7_2,14.749,1.7041,0.1572,
1884,BK7_2,14.793,1.7007,0.1574,
1885,BK7_2,14.837,1.698,0.1575,
1886,BK7_2,14.881,1.6957,0.1576,
1887,BK7_2,14.925,1.6937,0.1576,
1888,BK7_2,14.97,1.6917,0.1576,
1889,BK7_2,15.015,1.6898,0.1576,
1890,BK7_2,15.06,1.6876,0.1576,
1891,BK7_2,15.106,1.6847,0.1577,
1892,BK7_2,15.152,1.6808,0.158,
1893,BK7_2,15.198,1.6756,0.1583,
1894,BK7_2,15.244,1.6696,0.1588,
1895,BK7_2,15.291,1.6635,0.1595,
1896,BK7_2,15.337,1.6578,0.1604,
1897,BK7_2,15.385,1.6528,0.1615,
1898,BK7_2,15.432,1.6485,0.163,
1899,BK7_2,15.48,1.6445,0.1649,
1900,BK7_2,15.528,1.6404,0.1671,
1901,BK7_2,15.576,1.6359,0.1697,
1902,BK7_2,15.625,1.6314,0.1726,
1903,BK7_2,15.674,1.6271,0.1759,
1904,BK7_2,15.723,1.6231,0.1794,
1905,BK7_2,15.773,1.6197,0.1832,
1906,BK7_2,15.823,1.6168,0.1868,
1907,BK7_2,15.873,1.6143,0.19,
1908,BK7_2,15.924,1.6119,0.1926,
1909,BK7_2,15.974,1.6096,0.1948,
1910,BK7_2,16.026,1.607,0.1967,
1911,BK7_2,16.077,1.6036,0.1986,
1912,BK7_2,16.129,1.5992,0.2004,
1913,BK7_2,16.181,1.5938,0.2023,
1914,BK7_2,16.234,1.5878,0.2045,
1915,BK7_2,16.287,1.5814,0.207,
1916,BK7_2,16.34,1.5752,0.2102,
1917,BK7_2,16.393,1.5696,0.2145,
1918,BK7_2,16.447,1.5655,0.2198,
1919,BK7_2,16.502,1.5628,0.225,
1920,BK7_2,16.556,1.5615,0.2293,
1921,BK7_2,16.611,1.5608,0.2325,
1922,BK7_2,16.667,1.5602,0.2351,
1923,BK7_2,16.722,1.5592,0.2373,
1924,BK7_2,16.779,1.5569,0.2394,
1925,BK7_2,16.835,1.5514,0.2414,
1926,BK7_2,16.892,1.5422,0.2433,
1927,BK7_2,16.949,1.534,0.2454,
1928,BK7_2,17.007,1.5289,0.2478,
1929,BK7_2,17.065,1.5251,0.2506,
1930,BK7_2,17.123,1.5213,0.2543,
1931,BK7_2,17.182,1.5165,0.2591,
1932,BK7_2,17.241,1.5094,0.2651,
1933,BK7_2,17.301,1.5007,0.2717,
1934,BK7_2,17.361,1.4932,0.2783,
1935,BK7_2,17.422,1.487,0.2848,
1936,BK7_2,17.483,1.4814,0.2914,
1937,BK7_2,17.544,1.476,0.2982,
1938,BK7_2,17.606,1.4704,0.3053,
1939,BK7_2,17.668,1.4643,0.313,
1940,BK7_2,17.73,1.4585,0.3217,
1941,BK7_2,17.794,1.4536,0.3314,
1942,BK7_2,17.857,1.4492,0.3419,
1943,BK7_2,17.921,1.445,0.353,
1944,BK7_2,17.986,1.4408,0.3644,
1945,BK7_2,18.051,1.4362,0.376,
1946,BK7_2,18.116,1.4316,0.3876,
1947,BK7_2,18.182,1.4272,0.3994,
1948,BK7_2,18.248,1.4232,0.4113,
1949,BK7_2,18.315,1.4199,0.4235,
1950,BK7_2,18.382,1.417,0.4362,
1951,BK7_2,18.45,1.4146,0.4492,
1952,BK7_2,18.519,1.4127,0.4627,
1953,BK7_2,18.587,1.4114,0.4772,
1954,BK7_2,18.657,1.4112,0.4931,
1955,BK7_2,18.727,1.4124,0.5092,
1956,BK7_2,18.797,1.4146,0.5248,
1957,BK7_2,18.868,1.4174,0.5405,
1958,BK7_2,18.939,1.4203,0.5567,
1959,BK7_2,19.011,1.4233,0.574,
1960,BK7_2,19.084,1.4267,0.5941,
1961,BK7_2,19.157,1.4305,0.615,
1962,BK7_2,19.231,1.4352,0.6339,
1963,BK7_2,19.305,1.4414,0.6518,
1964,BK7_2,19.38,1.4499,0.6695,
1965,BK7_2,19.455,1.4605,0.6876,
1966,BK7_2,19.531,1.4721,0.7074,
1967,BK7_2,19.608,1.4837,0.7284,
1968,BK7_2,19.685,1.4952,0.7466,
1969,BK7_2,19.763,1.5071,0.7652,
1970,BK7_2,19.841,1.521,0.7872,
